iter	Passed	Remaining
847	151646	206010
848	151798	205795
849	151982	205623
850	152181	205471
851	152353	205283
852	152503	205066
853	152667	204867
854	152815	204647
855	152972	204440
856	153174	204292
857	153335	204090
858	153497	203888
859	153644	203668
860	153807	203468
861	153966	203264
862	154142	203081
863	154311	202891
864	154512	202742
865	154680	202549
866	154870	202385
867	155033	202186
868	155208	202003
869	155391	201830
870	155551	201627
871	155705	201417
872	155873	201225
873	156035	201025
